Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age,Strength,Material_Cost_INR,Carbon_Emission_kgCO2,Strength_Norm,Cost_Norm,Carbon_Norm,Cost_Score,Carbon_Score,Optimization_Score
315.0,137.0,0.0,145.0,5.9,1130.0,745.0,28,81.75,5904.75,314.52450000000005,0.9894107387566963,0.3807943821777381,0.47089257911639776,0.6192056178222619,0.5291074208836022,0.7817836290548141
275.0,180.0,120.0,162.0,10.4,830.0,765.0,28,76.24,6134.6,290.16560000000004,0.9207674099912795,0.41494737749275257,0.4143615379959595,0.5850526225072474,0.5856384620040405,0.7530564761234617
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,53.69,3984.8,191.7544,0.6398405381836303,0.0955124880943713,0.18597324485005884,0.9044875119056287,0.8140267551499412,0.7495488358557076
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91,76.8,6396.705000000001,301.27151000000003,0.9277438644574562,0.4538930848542573,0.44013563513868287,0.5461069151457427,0.5598643648613171,0.740364752230493
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,100,56.81,4914.76,185.53990000000005,0.6787093559237574,0.23369356063363944,0.17155091235380648,0.7663064393663606,0.8284490876461935,0.7380435597150172
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06,4761.23,187.72624,0.6693658901208422,0.2108808159274651,0.17662487203356442,0.7891191840725349,0.8233751279664356,0.7378065230701637
323.7,282.8,0.0,183.8,10.3,942.7,659.9,56,80.2,6636.179999999999,336.29584,0.9701009094306716,0.4894762414914686,0.5214185272005494,0.5105237585085314,0.4785814727994506,0.7323267625423313
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270,50.66,3984.8,191.7544,0.6020929363398531,0.0955124880943713,0.18597324485005884,0.9044875119056287,0.8140267551499412,0.7306750349338189
250.0,180.0,95.0,159.0,9.5,860.0,800.0,28,67.87,5834.95,265.7127,0.8164943316307464,0.37042292656325904,0.35761234589722063,0.629577073436741,0.6423876541027793,0.7262383477002532
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02,4986.515,185.80863,0.6564096175407999,0.24435550615823742,0.1721745688686857,0.7556444938417626,0.8278254311313142,0.7240722900136691
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56,53.77,4761.23,187.72624,0.6408371745359412,0.2108808159274651,0.17662487203356442,0.7891191840725349,0.8233751279664356,0.7235421652777133
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,44.7,3887.7,148.9969,0.5278435280926873,0.08108457491147847,0.08674355916198834,0.9189154250885215,0.9132564408380117,0.721964730527977
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.21,3887.7,148.9969,0.5217391304347827,0.08108457491147847,0.08674355916198834,0.9189154250885215,0.9132564408380117,0.7189125316990246
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,100,66.42,5900.224999999999,260.79959,0.7984302977451103,0.3801220206210687,0.34621022086533354,0.6198779793789313,0.6537897791346665,0.7176320885009546
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,63.53,5784.679999999999,237.54514000000003,0.7624268095178772,0.36295339828618367,0.2922423377021704,0.6370466017138163,0.7077576622978297,0.7174144707618502
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,56,53.46,4914.76,185.53990000000005,0.6369752086707363,0.23369356063363944,0.17155091235380648,0.7663064393663606,0.8284490876461935,0.7171764860885066
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56,72.99,6396.705000000001,301.27151000000003,0.880279058178647,0.4538930848542573,0.44013563513868287,0.5461069151457427,0.5598643648613171,0.7166323490910884
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,56,53.72,4986.515,185.80863,0.6402142768157469,0.24435550615823742,0.1721745688686857,0.7556444938417626,0.8278254311313142,0.7159746196511427
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66,4968.735000000001,187.38705,0.6394667995515136,0.24171360815214238,0.17583769511516328,0.7582863918478576,0.8241623048848368,0.7153455739589304
